Series
9,087
8,895
9,478
7,426
7,261
6,408
6,766
7,664
7,874
8,479
8,704
8,889
8,368
7,767
7,188
7,031
6,328
6,333
6,45
5,979
6,784
5,973
5,709
5,969
5,843
6,426
7,141
6,141
6,485
5,57
5,784
5,789
5,217
5,178
5,416
5,136
4,879
4,331
4,501
4,296
4,438
4,035
4,6
4,753
4,842
5,436
5,684
5,742
6,178
6,251
6,43
6,887
7,459
7,386
8,008
7,134
6,736
7,035
7,348
7,461
8,49
9,295
9,16
10,179
10,189
10,159
9,42
8,398
7,906
7,674
8,732
9,443
9,277
8,445
7,834
8,625
9,686
9,44
9,582
9,54
9,995
10,571
10,477
9,995
10,5
10,375
10,907
11,024
11,071
11,128
11,053
11,541
11,29
11,118
11,403
10,779
10,922
10,717
10,192
10,244
10,43
10,61
11,173
11,329
11,187
11,039
10,956
11,322
11,281
11,146
11,402
11,7
11,054
10,736
11,042
11,275
11,362
11,206
11,231
10,648
10,314
10,566
11,246
11,55
11,689
11,124
10,793
11,137
11,611
11,689
12,05
11,16
11,035
10,695
10,737
11,177
11,03
10,448
9,938
9,876
9,726
9,454
10,095
10,756
9,805
10,118
9,428
8,914
9,062
10,479
10,304
9,972
9,534
9,723
9,559
9,111
9,111
9,853
9,477
9,216
8,491
7,641
7,84
8,292
7,816
8,335
7,538
8,224
9,028
8,874
8,337
8,645
8,477
8,709
8,262
8,849
8,436
8,599
9,511
9,196
9,353
10,682
10,743
11,036
11,272
10,747
10,692
10,887
10,405
9,998
10,386
9,583
8,919
9,565
9,077
8,799
8,923
9,16
9,833
9,463
9,668
10,06
10,032
10,341
10,032
10,543
9,642
9,972
10,237
10,525
10,264
9,614
9,08
8,44
8,621
9,044
9,329
8,779
9,049
9,216
8,997
9,081
8,633
8,766
9,033
8,89
9,043
9,159
9,131
9,591
10,103
9,514
9,445
9,663
9,281
8,763
7,77
7,869
8,869
9,252
10,105
10,207
11,413
11,399
12,678
13,077
12,04
11,907
12,432
11,766
12,438
12,156
11,685
11,917
12,951
12,411
12,346
11,858
11,751
11,4
11,72
11,649
11,619
11,149
10,921
11,267
11,761
11,491
11,386
12,387
12,797
11,634
11,858
11,685
11,027
11,229
11,466
11,39
12,045
11,69
12,131
11,502
11,006
10,826
11,344
11,526
11,375
10,726
11,219
11,853
12,159
12,313
11,957
12,172
11,462
11,242
11,373
10,976
11,502
11,653
11,475
11,183
9,835
10,359
11,258
10,044
10,01
8,978
8,99
9,38
9,737
10,561
10,762
11,093
9,983
9,824
8,916
9,974
10,686
10,24
10,895
10,539
11,493
11,994
12,521
13,315
14,321
14,463
15,151
15,288
15,999
16,856
16,704
15,922
16,944
17,137
16,717
16,515
16,529
16,959
16,485
16,596
16,427
16,184
16,942
16,103
15,977
15,615
16,11
16,84
16,415
17,217
18,617
18,748
18,149
18,352
18,319
17,19
17,148
17,178
17,194
17,761
17,3
18,095
17,28
17,037
16,274
15,737
14,659
15,058
15,001
15,001
15,368
14,332
14,354
14,434
14,845
13,919
13,958
14,657
15,088
15,253
14,474
13,8
13,516
13,709
13,262
13,486
12,653
13,732
13,506
13,833
13,226
13,413
13,519
13,054
14,433
14,573
14,822
14,232
14,027
13,974
14,394
15,121
16,572
17,046
17,737
17,781
18,204
17,659
17,214
17,555
17,635
18,231
19,089
18,982
18,861
18,623
18,28
18,785
18,237
18,943
19,311
19,132
19,211
19,258
18,292
18,833
19,171
18,778
18,255
18,38
17,985
18,613
18,047
18,529
18,494
18,385
18,159
18,639
18,896
18,909
18,765
18,182
19,323
18,828
19,429
19,637
19,327
18,153
18,479
17,886
17,525
17,607
18,101
18,301
18,043
17,974
18,313
18,69
18,917
19,37
19,592
19,464
19,235
20,325
20,73
20,39
19,772
19,141
19,02
18,061
18,704
18,907
19,495
18,725
18,053
17,509
17,549
17,607
17,17
17,193
18,278
19,021
19,945
21,286
20,993
19,725
21,145
23,07
22,575
24,598
25,342
27,006
27,5
27,718
24,56
24,254
24,741
25,095
23,554
23,34
25,899
24,554
24,363
25,338
25,471
26,661
26,935
28,152
27,067
25,898
25,643
26,882
27,423
27,261
26,515
25,964
27,166
25,862
24,912
23,894
24,168
22,943
22,304
21,99
23,575
23,524
22,576
21,147
20,579
19,858
19,046
20,278
20,841
21,582
19,707
20,622
22,735
22,449
24,113
24,347
22,693
22,886
23,43
23,616
23,464
25,254
27,067
26,933
26,677
27,031
26,696
26,599
26,295
25,572
26,786
26,812
26,713
26,391
26,635
26,585
26,787
26,948
27,32
27,662
27,207
26,774
26,453
27,113
28,39
28,3
28,724
29,133
28,922
28,558
28,582
29,019
29,313
29,851
30,122
30,784
30,729
31,146
30,958
30,879
31,142
30,863
30,786
30,922
30,458
29,355
30,146
29,88
29,864
30,901
30,971
